data,method,accuracy_mean,accuracy_sd,ari_mean,ari_sd,nll_mean,nll_sd,mse_weight_mean,mse_weight_sd,mse_mean_mean,mse_mean_sd,mse_covariance_mean,mse_covariance_sd
Iris,CEM,0.6867,0,0.5621,0,300.6287,0,0.0655,0,0.0858,0,0.0121,0
Iris,DAEM,0.8200,0,0.6007,0,299.8482,0,0.0003,0,0.0472,0,0.0264,0
Iris,SEM,0.7684,0.1014,0.6137,0.1074,300.6705,14.3860,0.0364,0.0254,0.0866,0.0604,0.0546,0.1376
Iris,SAEM,0.7364,0.0697,0.5448,0.0620,308.6257,21.4912,0.0215,0.0202,0.0787,0.0481,0.0486,0.0755
Iris,QAPF-EM,0.8200,0,0.6007,0,299.8482,0,0.0003,0,0.0470,0,0.0263,0
Wine,CEM,0.6124,0,0.3658,0,2169.5467,0,0.0756,0,0.1555,0,0.1793,0
Wine,DAEM,0.7191,0,0.4419,0,2131.6593,0,0.0244,0,0.1157,0,0.0492,0
Wine,SEM,0.6307,0.0751,0.3403,0.0707,2149.2729,41.4477,0.0338,0.0170,0.1760,0.0744,0.0855,0.0306
Wine,SAEM,0.6159,0.0762,0.3025,0.0950,2181.6745,49.6358,0.0247,0.0151,0.1773,0.0674,0.0890,0.0257
Wine,QAPF-EM,0.7472,0,0.4248,0,2137.6490,0,0.0030,0,0.0454,0,0.0365,0
Seeds,CEM,0.6810,0,0.4504,0,-189.7223,0,0.0515,0,0.1122,0,0.0249,0
Seeds,DAEM,0.8952,0,0.7234,0,-320.3696,0,0.0026,0,0.0164,0,0.0040,0
Seeds,SEM,0.8259,0.1084,0.6431,0.1365,-253.1673,46.8323,0.0161,0.0209,0.0663,0.0888,0.0487,0.0923
Seeds,SAEM,0.8076,0.1097,0.6093,0.1390,-229.2785,74.2504,0.0155,0.0172,0.0857,0.1197,0.0534,0.1318
Seeds,QAPF-EM,0.8952,0,0.7234,0,-320.3696,0,0.0026,0,0.0164,0,0.0040,0
