dimension,model,components,method,accuracy_mean,accuracy_sd,ari_mean,ari_sd,nll_mean,nll_sd,mse_weight_mean,mse_weight_sd,mse_mean_mean,mse_mean_sd,mse_covariance_mean,mse_covariance_sd
1,1,2,CEM,0.9246,0.0204,0.7218,0.0667,967.5826,11.3934,0.0026,0.0038,0.0424,0.0555,0.0849,0.0459
1,1,2,DAEM,0.9247,0.0130,0.7212,0.0442,989.4597,22.7943,0.0051,0.0024,1.6855,1.0222,3.4815,2.2284
1,1,2,SEM,0.9167,0.0266,0.6963,0.0847,964.0836,11.5629,0.0060,0.0100,0.0603,0.0711,0.0696,0.0907
1,1,2,SAEM,0.8813,0.1075,0.6238,0.2344,969.4982,19.5683,0.0055,0.0065,0.2993,0.6158,0.8040,1.6669
1,1,2,QAPF-EM,0.9244,0.0150,0.7205,0.0506,963.5891,11.6987,0.0021,0.0027,0.0265,0.0233,0.0232,0.0232
1,2,4,CEM,0.5263,0.0214,0.4378,0.0154,1292.2770,11.1532,0.0691,0.0076,1.8963,0.2211,1.4654,0.2313
1,2,4,DAEM,0.5235,0.0191,0.4347,0.0114,1281.6676,14.9638,0.0025,0.0000,10.6807,0.0347,79.6809,10.3602
1,2,4,SEM,0.6944,0.1417,0.4590,0.1892,1254.7309,11.9036,0.0392,0.0326,1.3127,1.6670,9.4594,10.3446
1,2,4,SAEM,0.6489,0.0880,0.4678,0.0998,1269.0961,11.4250,0.0110,0.0070,1.7085,0.8152,14.8364,7.1151
1,2,4,QAPF-EM,0.7681,0.1093,0.5697,0.1043,1257.6722,11.8918,0.0075,0.0042,0.7432,0.5878,7.5457,5.6429
1,3,6,CEM,0.4249,0.0264,0.3173,0.0147,1394.8440,9.1644,0.0393,0.0036,4.4445,0.2305,2.2905,0.3447
1,3,6,DAEM,0.4135,0.0269,0.3144,0.0133,1401.0732,9.5770,0.0004,0.0000,16.8098,0.0323,224.2707,17.9238
1,3,6,SEM,0.5276,0.0821,0.3754,0.0947,1369.4733,7.6075,0.0346,0.0164,2.0840,1.3452,57.0103,34.2161
1,3,6,SAEM,0.5899,0.0613,0.4715,0.0526,1373.1061,6.9060,0.0055,0.0039,1.7112,0.6816,15.3150,6.9281
1,3,6,QAPF-EM,0.6032,0.0357,0.4789,0.0463,1370.5432,6.6048,0.0046,0.0034,2.4549,0.9919,15.5558,6.2143
2,1,2,CEM,0.9138,0.1036,0.7252,0.2815,1801.0721,67.4793,0.0033,0.0070,0.1781,0.3208,0.7720,1.4429
2,1,2,DAEM,0.9668,0.0066,0.8712,0.0248,1764.8297,14.6652,0.0007,0.0007,0.0113,0.0174,0.0214,0.0142
2,1,2,SEM,0.9663,0.0072,0.8693,0.0272,1765.4447,14.5173,0.0009,0.0013,0.0116,0.0094,0.0248,0.0193
2,1,2,SAEM,0.9675,0.0070,0.8737,0.0266,1764.8480,14.6641,0.0007,0.0008,0.0112,0.0167,0.0214,0.0146
2,1,2,QAPF-EM,0.9669,0.0068,0.8715,0.0256,1764.8297,14.6652,0.0007,0.0007,0.0113,0.0173,0.0214,0.0142
2,2,4,CEM,0.6213,0.0870,0.4576,0.0910,2028.8843,23.2402,0.0396,0.0134,0.8107,0.3217,0.8355,0.2896
2,2,4,DAEM,0.7277,0.1885,0.5476,0.2663,2040.9145,83.0160,0.0028,0.0038,2.7851,2.7373,9.8647,9.9791
2,2,4,SEM,0.8885,0.0999,0.7698,0.1402,1972.5660,26.8799,0.0088,0.0167,0.2304,0.5092,0.7685,2.0611
2,2,4,SAEM,0.7483,0.1240,0.5732,0.1484,1997.0062,31.0747,0.0120,0.0087,0.6670,0.5819,2.4635,2.6438
2,2,4,QAPF-EM,0.9193,0.0970,0.8203,0.1139,1966.0938,25.3410,0.0020,0.0050,0.1264,0.5095,0.1838,0.6194
2,3,6,CEM,0.4483,0.0692,0.3271,0.0686,2306.0557,33.3604,0.0422,0.0083,2.0711,0.3516,1.9118,2.3258
2,3,6,DAEM,0.7325,0.1546,0.6210,0.1842,2205.1602,64.1976,0.0037,0.0034,2.0878,2.9615,8.9606,14.3835
2,3,6,SEM,0.8464,0.0942,0.7468,0.1211,2170.2509,29.0482,0.0069,0.0061,0.7022,1.0696,2.3549,3.2914
2,3,6,SAEM,0.7143,0.0843,0.5793,0.0969,2204.2501,31.8173,0.0040,0.0027,1.2003,0.8321,4.7585,4.4915
2,3,6,QAPF-EM,0.8411,0.1041,0.7456,0.1234,2167.9558,29.9390,0.0035,0.0038,0.6118,0.6708,2.3973,5.9176
3,1,2,CEM,0.9589,0.0094,0.8421,0.0346,2536.2907,22.5282,0.0017,0.0015,0.0132,0.0092,0.0333,0.0136
3,1,2,DAEM,0.9584,0.0101,0.8405,0.0370,2533.8881,22.4681,0.0008,0.0011,0.0093,0.0083,0.0208,0.0194
3,1,2,SEM,0.9569,0.0114,0.8350,0.0410,2534.7954,22.4842,0.0010,0.0011,0.0136,0.0142,0.0303,0.0405
3,1,2,SAEM,0.9576,0.0106,0.8376,0.0387,2533.9227,22.4784,0.0008,0.0013,0.0102,0.0098,0.0219,0.0213
3,1,2,QAPF-EM,0.9583,0.0101,0.8400,0.0372,2533.8881,22.4681,0.0008,0.0011,0.0093,0.0083,0.0208,0.0193
3,2,4,CEM,0.6069,0.0824,0.4409,0.0812,2759.4695,33.6529,0.0404,0.0128,0.5740,0.1609,0.4126,0.1421
3,2,4,DAEM,0.8095,0.1631,0.6660,0.2134,2713.7238,55.4864,0.0070,0.0100,0.5721,1.0693,1.4839,3.0621
3,2,4,SEM,0.8482,0.1179,0.7164,0.1505,2699.8773,33.9061,0.0118,0.0178,0.4301,0.8441,0.9652,4.4034
3,2,4,SAEM,0.7337,0.1200,0.5482,0.1386,2726.5540,36.1804,0.0097,0.0083,0.5488,0.4299,1.1244,1.2537
3,2,4,QAPF-EM,0.8564,0.1202,0.7240,0.1588,2699.7840,31.6540,0.0082,0.0117,0.2673,0.4356,0.8602,1.5641
3,3,6,CEM,0.5664,0.0918,0.4641,0.1339,2976.4301,56.8326,0.0274,0.0092,1.4866,0.3140,1.1597,0.3077
3,3,6,DAEM,0.6677,0.1308,0.5407,0.1578,2894.5010,42.6712,0.0076,0.0047,1.2500,0.8099,5.8654,4.7611
3,3,6,SEM,0.7871,0.1048,0.6851,0.1306,2863.0523,33.4873,0.0103,0.0058,1.1091,0.9029,2.3903,4.5022
3,3,6,SAEM,0.6914,0.0854,0.5675,0.0997,2904.3829,38.0044,0.0052,0.0027,1.1185,0.6414,3.6862,2.5411
3,3,6,QAPF-EM,0.8170,0.1392,0.7309,0.1729,2859.5328,38.6070,0.0042,0.0052,0.6451,0.7004,1.3859,2.0030
